AttributeX,AttributeY,AttributeZ,AttributeT,Class,Class,Class,Class
-0.073435,-0.65826,-0.74272,0.99529,1,2,3,4
-0.0651,-0.664055,-0.738365,0.995325,1,2,3,4
-0.066345,-0.660805,-0.74039,0.994725,1,2,3,4
-0.07467,-0.65617,-0.742905,0.99407,1,2,3,4
-0.0712,-0.65184,-0.746645,0.993805,1,2,3,4
-0.0793,-0.64975,-0.748555,0.99459,1,2,3,4
-0.07646,-0.65134,-0.74841,0.99531,1,2,3,4
-0.07789,-0.654185,-0.74315,0.99331,1,2,3,4
-0.08128,-0.675095,-0.72623,0.99503,1,2,3,4
-0.07309,-0.671345,-0.73182,0.996035,1,2,3,4
-0.079185,-0.70779,-0.698345,0.9978,1,2,3,4
-0.090525,-0.707135,-0.699015,0.99857,1,2,3,4
-0.08584,-0.707335,-0.698125,0.997705,1,2,3,4
-0.08338,-0.70852,-0.6974,0.99778,1,2,3,4
-0.087535,-0.70647,-0.700265,0.998655,1,2,3,4
-0.081865,-0.69966,-0.70641,0.99778,1,2,3,4
-0.08174,-0.71207,-0.695425,0.998715,1,2,3,4
-0.08075,-0.69751,-0.70873,0.99779,1,2,3,4
-0.079955,-0.682785,-0.721815,0.99689,1,2,3,4
-0.076285,-0.660075,-0.740395,0.99502,1,2,3,4
-0.078335,-0.66273,-0.739045,0.996665,1,2,3,4
-0.078615,-0.6451,-0.752275,0.994195,1,2,3,4
-0.07863,-0.646725,-0.75118,0.99437,1,2,3,4
-0.076665,-0.650265,-0.748685,0.994615,1,2,3,4
-0.076975,-0.65195,-0.747365,0.994795,1,2,3,4
-0.075865,-0.65787,-0.74336,0.99565,1,2,3,4
-0.078395,-0.65685,-0.74244,0.99446,1,2,3,4
-0.07856,-0.656245,-0.7435,0.99488,1,2,3,4
-0.07589,-0.65625,-0.743825,0.994925,1,2,3,4
-0.07681,-0.65725,-0.7439,0.995665,1,2,3,4
-0.081,-0.6568,-0.74473,0.99636,1,2,3,4
-0.08037,-0.659695,-0.74279,0.99675,1,2,3,4
-0.07866,-0.659605,-0.74229,0.99616,1,2,3,4
-0.07621,-0.66112,-0.74188,0.996715,1,2,3,4
-0.07382,-0.661815,-0.74154,0.99675,1,2,3,4
-0.06728,-0.66631,-0.737825,0.996525,1,2,3,4
-0.06009,-0.66879,-0.735795,0.996275,1,2,3,4
-0.062265,-0.670015,-0.734525,0.996255,1,2,3,4
