AttributeX,AttributeY,AttributeZ,AttributeT,Class,Class,Class,Class
0.938453,0.273824,0.12863725,1.2118975,3,6,9,0
0.949497,0.27067175,0.104072,1.2343025,3,6,9,0
0.92980375,0.2749705,0.10692375,1.1978925,3,6,9,0
0.95505475,0.23968075,0.14082275,1.241725,3,6,9,0
0.9354205,0.27126425,0.15518475,1.2275775,3,6,9,0
0.93390925,0.28068325,0.12649975,1.2165575,3,6,9,0
0.92208625,0.2795335,0.1263245,1.208135,3,6,9,0
0.92943725,0.249459,0.19512925,1.1938175,3,6,9,0
0.9240945,0.3087515,0.1357805,1.2210125,3,6,9,0
0.92355375,0.30818075,0.104051,1.240965,3,6,9,0
0.93060425,0.31322825,0.09204,1.237665,3,6,9,0
0.9299855,0.305334,0.0980195,1.23768,3,6,9,0
0.95684575,0.2978325,0.08398875,1.2578375,3,6,9,0
0.928461,0.31258325,0.0847275,1.24993,3,6,9,0
0.921337,0.32943925,0.09157325,1.2280025,3,6,9,0
0.79947175,0.4903885,0.06661125,1.3127225,3,6,9,0
0.834791,0.4366515,0.0821535,1.2845325,3,6,9,0
0.90325825,0.33169175,0.10205725,1.3971725,3,6,9,0
0.87356075,0.36249425,0.10143625,1.3177725,3,6,9,0
0.8527965,0.38545275,0.129506,1.30433,3,6,9,0
0.85100225,0.407,0.13904725,1.288055,3,6,9,0
0.841097,0.39826875,0.12162275,1.303325,3,6,9,0
0.8633225,0.38278625,0.1267705,1.35775,3,6,9,0
0.84485225,0.4132655,0.134008,1.3453575,3,6,9,0
0.853195,0.4128025,0.1052255,1.299735,3,6,9,0
0.85761625,0.42518225,0.10299125,1.304665,3,6,9,0
0.834955,0.4246865,0.126891,1.265975,3,6,9,0
0.8807065,0.40006375,0.112628,1.2534075,3,6,9,0
0.8348525,0.479709,0.13639125,1.187445,3,6,9,0
0.775399,0.52591175,0.106024,1.1615275,3,6,9,0
0.833876,0.448157,0.04628625,1.1888075,3,6,9,0
0.84409725,0.430099,0.129449,1.2945075,3,6,9,0
0.873641,0.41514675,0.067958,1.27317,3,6,9,0
0.87485525,0.38964575,0.11915175,1.2700475,3,6,9,0
0.860616,0.411613,0.10025775,1.2588,3,6,9,0
0.8639905,0.3827215,0.0695275,1.28418,3,6,9,0
0.8795715,0.38077975,0.0816105,1.262375,3,6,9,0
0.87616825,0.381854,0.110979,1.3049625,3,6,9,0
0.88379575,0.39661325,0.06646375,1.2648625,3,6,9,0
0.895108,0.358978,0.06956475,1.2531825,3,6,9,0
0.88932275,0.3734385,0.06762575,1.2735775,3,6,9,0
0.88055525,0.383312,0.052919,1.289495,3,6,9,0
0.91032875,0.3794635,0.0015545,1.3755375,3,6,9,0
0.87872575,0.40460275,0.00375775,1.2868925,3,6,9,0
0.87973425,0.39838975,-0.04335425,1.2881075,3,6,9,0
0.8989945,0.350223,0.0292495,1.313145,3,6,9,0
0.8849775,0.3650685,0.020292,1.2865075,3,6,9,0
0.87845375,0.39851625,0.0442385,1.2421075,3,6,9,0
0.89346625,0.38087675,0.05567475,1.2861775,3,6,9,0
0.89011425,0.37955125,0.0569335,1.269265,3,6,9,0
0.893276,0.366013,0.0420765,1.24413,3,6,9,0
0.89073825,0.35961525,0.04768325,1.24182,3,6,9,0
0.8855175,0.38464275,0.028925,1.2034975,3,6,9,0
0.87059475,0.4167865,-0.009418,1.2008025,3,6,9,0
0.877587,0.42317125,-0.01997025,1.20594,3,6,9,0
0.880987,0.39314225,0.017008,1.202845,3,6,9,0
0.898773,0.3564385,0.02896775,1.2106525,3,6,9,0
0.89013925,0.38806925,0.025332,1.1866125,3,6,9,0
0.8933025,0.37859025,0.00108575,1.1989225,3,6,9,0
0.893984,0.38693475,0.00693,1.183985,3,6,9,0
0.8845395,0.39760775,-0.013122,1.1534125,3,6,9,0
0.88954325,0.38480525,0.02437075,1.167895,3,6,9,0
0.89384925,0.38245375,-0.00039575,1.2044025,3,6,9,0
0.894824,0.4115185,-0.0457145,1.21896,3,6,9,0
0.898406,0.38334425,-0.0401265,1.223525,3,6,9,0
0.90940825,0.33488225,0.035302,1.1976575,3,6,9,0
0.89890375,0.354237,0.01745575,1.19839,3,6,9,0
0.89726975,0.36236375,0.006264,1.199165,3,6,9,0
0.90472475,0.34870275,0.01315275,1.167,3,6,9,0
0.902304,0.3304675,0.00731675,1.1689525,3,6,9,0
0.90372575,0.3366745,0.03198075,1.1864075,3,6,9,0
0.9145785,0.3122915,0.00937275,1.2437625,3,6,9,0
0.908164,0.33072075,0.03977575,1.24149,3,6,9,0
0.896911,0.3467115,0.07281225,1.19823,3,6,9,0
0.8800665,0.3559935,0.0578645,1.21531,3,6,9,0
0.90627975,0.3715355,-0.11628425,1.26871,3,6,9,0
0.90519875,0.35097375,-0.03768175,1.236545,3,6,9,0
0.90144075,0.335501,-0.0089315,1.2110625,3,6,9,0
0.91359825,0.33347525,0.017511,1.2171025,3,6,9,0
0.8996,0.342073,0.03700925,1.21702,3,6,9,0
0.89827325,0.34687875,0.046598,1.1799225,3,6,9,0
0.887777,0.357738,0.02081875,1.1954,3,6,9,0
0.8886445,0.3622595,0.00014775,1.1809525,3,6,9,0
0.9006195,0.361994,-0.0236205,1.1639225,3,6,9,0
0.9080295,0.323297,-0.0104665,1.1851625,3,6,9,0
0.9029485,0.35402825,-0.07938825,1.22848,3,6,9,0
0.90029575,0.35296525,-0.06881325,1.17697,3,6,9,0
0.90881975,0.32778475,-0.0318755,1.189135,3,6,9,0
0.91311675,0.31979825,-0.02750775,1.1717,3,6,9,0
0.91386575,0.29461925,-0.02295,1.181955,3,6,9,0
0.90760875,0.30158925,-0.0018135,1.1973025,3,6,9,0
0.923622,0.27426375,0.005334,1.251075,3,6,9,0
0.920772,0.2848125,0.04162375,1.234145,3,6,9,0
0.91678225,0.2957935,0.06701175,1.25163,3,6,9,0
0.90992125,0.30417925,0.0261755,1.2270875,3,6,9,0
0.90666525,0.2758875,0.0411695,1.2556675,3,6,9,0
